file_name, topic_id, topic_description, Last Write Time
"5051_11_Paper_Chase_3_-_No_Need_To_Irrigate_Abscesses_MM_CN_sps.pdf", 5051, "Paper Chase 3 - No Need To Irrigate Abscesses", 2018-01-15T05:01:53.336230+00:00
"5051_EMRAP_2016_Feb_Track13_PC3_Irrigate.mp3", 5051, "Paper Chase 3 - No Need To Irrigate Abscesses", 2018-01-15T05:01:54.024881+00:00
"5065_16_Needlesticks_sps.pdf", 5065, "Needlesticks", 2018-01-15T05:02:18.435970+00:00
"5065_EMRAP_2016_April_Track04_Needlesticks.mp3", 5065, "Needlesticks", 2018-01-15T05:02:21.175561+00:00
"5066_17_Point-Of-Care_Troponin_MM_CN_sps.pdf", 5066, "Point of Care Troponin", 2018-01-15T05:02:21.533900+00:00
"5066_EMRAP_2016_April_Track05_PocTroponin.mp3", 5066, "Point of Care Troponin", 2018-01-15T05:02:23.097381+00:00
"5067_12_Paper_Chase_2_-_Febrile_Seizures_and_Risk_of_Meningitis_sps.pdf", 5067, "Paper Chase 2 - Febrile Seizures and Risk of Meningitis", 2018-01-15T05:02:23.483745+00:00
"5067_EMRAP_2016_April_Track06_PC2_Meningitis.mp3", 5067, "Paper Chase 2 - Febrile Seizures and Risk of Meningitis", 2018-01-15T05:02:24.412624+00:00
"5068_09_Stabbed_in_the_Chest_MM_CN_sps.pdf", 5068, "Stabbed In The Chest", 2018-01-15T05:02:24.672870+00:00
"5068_EMRAP_2016_April_Track07_Stabbed.mp3", 5068, "Stabbed In The Chest", 2018-01-15T05:02:27.778807+00:00
"5069_08_Transvenous_Pacemaker_MM_CN_sps.pdf", 5069, "Transvenous Pacemakers", 2018-01-15T05:02:28.100111+00:00
"5069_EMRAP_2016_April_Track09_TransvenousPacemakers.mp3", 5069, "Transvenous Pacemakers", 2018-01-15T05:02:30.625500+00:00
"5070_05_Severe_Burn_Management_MM_CN_sps.pdf", 5070, "Severe Burn Management", 2018-01-15T05:02:31.041894+00:00
"5070_EMRAP_2016_April_Track10_SevereBurn.mp3", 5070, "Severe Burn Management", 2018-01-15T05:02:33.674383+00:00
"5071_13_Paper_Chase_3_-_Prescribing_Adolescents_Opioids_sps.pdf", 5071, "Paper Chase 3 - Prescribing Adolescents Opioids", 2018-01-15T05:02:34.038729+00:00
"5071_EMRAP_2016_April_Track11_PC3_Opioids.mp3", 5071, "Paper Chase 3 - Prescribing Adolescents Opioids", 2018-01-15T05:02:35.043679+00:00
"5072_06_Physostigmine_MM_CN_sps.pdf", 5072, "Physostigmine", 2018-01-15T05:02:35.387003+00:00
"5072_EMRAP_2016_April_Track12_Physostigmine.mp3", 5072, "Physostigmine", 2018-01-15T05:02:37.726216+00:00
"5073_02_Extraglottic_Airway_MM_CN_sps.pdf", 5073, "Airway Corner - Extraglottic Airways", 2018-01-15T05:02:38.059531+00:00
"5073_EMRAP_2016_April_Track14_Airways.mp3", 5073, "Airway Corner - Extraglottic Airways", 2018-01-15T05:02:39.209618+00:00
"5074_03_Doc_In_The_Bay_-_Radio_EMS_MM_CN_sps.pdf", 5074, "Doc In The Bay - I Heard It On The Radio", 2018-01-15T05:02:39.591980+00:00
"5074_EMRAP_2016_April_Track15_DIB_Radio.mp3", 5074, "Doc In The Bay - I Heard It On The Radio", 2018-01-15T05:02:41.026338+00:00
